"","WT_t0_","WT_t0.5_","chl1_t0_","chl1_t0.5_"
"AT2G17060",4.97563381944587,6.39622340482515,5.17131009206635,5.70670049049745
"AT1G56220",10.7184614195673,10.0273479431183,10.794185492629,10.2344292035582
"AT5G54660",6.39881102182376,7.78917585928764,6.44695386058293,7.37173078459841
"AT4G22070",8.41033785532443,7.23323142951703,8.44959603484212,7.49926305037895
"AT5G48175",6.36065532902344,5.49570884714214,6.60823329122225,5.70463431886618
"AT3G07470",9.46256001333733,10.3014573561509,9.45134452770476,10.1630150653504
"AT4G17080",8.73814480502801,7.78028872006398,8.77992989750506,8.12091593978437
"AT3G50910",8.43906538628157,9.16070862255039,8.43984802461545,8.84894088208956
"AT2G04795",7.78656979412231,8.83625769934139,7.83778347021755,8.48617869474786
"AT2G28110",9.66490795335556,8.72615200819796,9.74423902970939,9.18306164515557
"AT2G42070",7.50401497567306,8.29488640306273,7.57239403572167,8.06289869690853
"AT4G34760",5.78533351353467,6.85324690677926,5.89370795459732,6.17294978331496
"AT5G20540",7.0174909149735,9.13687384994761,7.02042731896711,7.90609173590939
"AT5G08330",7.2428738186381,7.92716143673818,7.14791421642964,7.92653988303828
"AT4G38420",4.6387891083406,6.77331353443533,4.7506623603047,6.75717356835521
"AT3G11390",4.58942201907049,6.17107568102849,4.69092560400135,6.03421865899513
"AT5G62430",5.7942613811757,7.35567984429969,5.48510029457517,6.48772926745588
"AT5G14760",4.92310639116266,8.08931675990892,5.39472051408936,7.42896866123803
"AT5G11930",7.58588250109382,6.28916353296272,7.62011450773403,6.7070668708895
"AT4G05200",9.80698687899391,8.97535977858407,9.82676322449315,9.10706430343237
"AT5G03380",10.862277767889,11.7699692926987,10.9446416213129,11.5838193662109
"AT4G36380",8.05213741767346,9.00494034241089,8.06886217112693,8.19140062507099
"AT3G05320",6.16403556338576,7.30551957086984,6.16332139868945,7.22617698675794
"AT1G55390",5.23827000720403,7.4609174775505,5.26740191885993,7.38807322540604
"AT3G16570",8.01935533987263,9.24382893813107,8.03465996239207,8.83938858663464
"AT1G18400",3.76070960135263,4.3340492886329,3.70838164021824,4.22771021319768
"AT2G26820",6.45245922381297,8.12120387569739,6.71696960605502,7.55773360306453
"AT3G19030",10.4424262386602,11.648551325297,10.5573473619362,11.4543727215627
"AT1G76990",11.3548917117778,10.7517478011721,11.3662650436346,10.828321813191
